Packet_Num,Time,Source,Destination,Protocol,Length
"5016","48.538417","192.168.3.101","192.168.20.2","UDP","1175"
"5017","48.538448","192.168.3.101","192.168.20.2","UDP","1175"
"5019","48.54152","192.168.3.102","192.168.20.3","SIP","360"
"5021","48.543459","192.168.3.101","192.168.20.2","UDP","1175"
"5022","48.543491","192.168.3.101","192.168.20.2","UDP","1175"
"5023","48.548555","192.168.3.101","192.168.20.2","UDP","1175"
"5024","48.548586","192.168.3.101","192.168.20.2","UDP","1175"
"5025","48.553681","192.168.3.101","192.168.20.2","UDP","1175"
"5026","48.553711","192.168.3.101","192.168.20.2","UDP","1176"
"5027","48.558686","192.168.3.101","192.168.20.2","UDP","1176"
"5028","48.558717","192.168.3.101","192.168.20.2","UDP","1176"
"5029","48.56383","192.168.3.101","192.168.20.2","UDP","1176"
"5030","48.56386","192.168.3.101","192.168.20.2","UDP","1158"
"5031","48.568873","192.168.3.101","192.168.20.2","UDP","1158"
"5032","48.568904","192.168.3.101","192.168.20.2","UDP","1159"
"5033","48.571322","192.168.20.3","192.168.3.102","SIP","410"
"5034","48.571341","192.168.20.3","192.168.3.102","SIP","410"
"5035","48.571719","192.168.3.102","192.168.20.3","SIP","352"
"5036","48.576583","192.168.3.101","192.168.20.2","UDP","1159"
"5037","48.576613","192.168.3.101","192.168.20.2","UDP","1159"
"5038","48.577064","192.168.20.2","192.168.3.101","UDP","92"
"5039","48.57915","192.168.3.101","192.168.20.2","UDP","1159"
"5040","48.579179","192.168.3.101","192.168.20.2","UDP","1159"
"5041","48.584198","192.168.3.101","192.168.20.2","UDP","1159"
"5042","48.584226","192.168.3.101","192.168.20.2","UDP","1159"
"5043","48.58929","192.168.3.101","192.168.20.2","UDP","1159"
"5044","48.58932","192.168.3.101","192.168.20.2","UDP","1159"
"5045","48.594379","192.168.3.101","192.168.20.2","UDP","1159"
"5046","48.594411","192.168.3.101","192.168.20.2","UDP","1159"
"5047","48.597396","192.168.3.101","192.168.20.2","UDP","112"
"5048","48.599469","192.168.3.101","192.168.20.2","UDP","1159"
"5049","48.5995","192.168.3.101","192.168.20.2","UDP","1159"
"5050","48.60456","192.168.3.101","192.168.20.2","UDP","1159"
"5051","48.604591","192.168.3.101","192.168.20.2","UDP","1159"
"5052","48.609626","192.168.3.101","192.168.20.2","UDP","1159"
"5053","48.609651","192.168.3.101","192.168.20.2","UDP","1159"
"5054","48.614741","192.168.3.101","192.168.20.2","UDP","1171"
"5055","48.614773","192.168.3.101","192.168.20.2","UDP","1171"
"5056","48.619833","192.168.3.101","192.168.20.2","UDP","1171"
"5057","48.619864","192.168.3.101","192.168.20.2","UDP","1171"
"5058","48.624836","192.168.3.101","192.168.20.2","UDP","1171"
"5059","48.624871","192.168.3.101","192.168.20.2","UDP","1171"
"5060","48.624885","192.168.3.101","192.168.20.2","UDP","1171"
"5061","48.630041","192.168.3.101","192.168.20.2","UDP","1171"
"5062","48.630066","192.168.3.101","192.168.20.2","UDP","1171"
"5063","48.630105","192.168.20.2","192.168.3.101","UDP","100"
"5065","48.633436","192.168.3.102","192.168.20.3","SIP","360"
"5067","48.635096","192.168.3.101","192.168.20.2","UDP","1171"
"5068","48.635114","192.168.3.101","192.168.20.2","UDP","1171"
"5069","48.64033","192.168.3.101","192.168.20.2","UDP","1171"
"5070","48.640355","192.168.3.101","192.168.20.2","UDP","1171"
"5071","48.645416","192.168.3.101","192.168.20.2","UDP","1172"
"5072","48.645445","192.168.3.101","192.168.20.2","UDP","1172"
"5073","48.650519","192.168.3.101","192.168.20.2","UDP","1172"
"5074","48.650548","192.168.3.101","192.168.20.2","UDP","1172"
"5075","48.655595","192.168.3.101","192.168.20.2","UDP","1172"
"5076","48.655617","192.168.3.101","192.168.20.2","UDP","1172"
"5077","48.660697","192.168.3.101","192.168.20.2","UDP","1172"
"5078","48.660721","192.168.3.101","192.168.20.2","UDP","1172"
"5079","48.661252","192.168.20.3","192.168.3.102","SIP","410"
"5080","48.661261","192.168.20.3","192.168.3.102","SIP","410"
"5081","48.661521","192.168.3.102","192.168.20.3","SIP","352"
"5082","48.665807","192.168.3.101","192.168.20.2","UDP","1172"
"5083","48.665838","192.168.3.101","192.168.20.2","UDP","1172"
"5084","48.670855","192.168.3.101","192.168.20.2","UDP","1172"
"5085","48.670886","192.168.3.101","192.168.20.2","UDP","1172"
"5086","48.676003","192.168.3.101","192.168.20.2","UDP","1197"
"5087","48.676035","192.168.3.101","192.168.20.2","UDP","1197"
"5088","48.680132","192.168.20.2","192.168.3.101","UDP","100"
"5089","48.681114","192.168.3.101","192.168.20.2","UDP","1197"
"5090","48.681137","192.168.3.101","192.168.20.2","UDP","1197"
"5091","48.68626","192.168.3.101","192.168.20.2","UDP","1197"
"5092","48.686288","192.168.3.101","192.168.20.2","UDP","1197"
"5093","48.691326","192.168.3.101","192.168.20.2","UDP","1197"
"5094","48.691354","192.168.3.101","192.168.20.2","UDP","1197"
"5095","48.69642","192.168.3.101","192.168.20.2","UDP","1198"
"5096","48.696451","192.168.3.101","192.168.20.2","UDP","1198"
"5097","48.701534","192.168.3.101","192.168.20.2","UDP","1198"
"5098","48.701565","192.168.3.101","192.168.20.2","UDP","1198"
"5099","48.706589","192.168.3.101","192.168.20.2","UDP","1198"
"5100","48.70662","192.168.3.101","192.168.20.2","UDP","1198"
"5101","48.711711","192.168.3.101","192.168.20.2","UDP","1198"
"5102","48.711742","192.168.3.101","192.168.20.2","UDP","1198"
"5103","48.716825","192.168.3.101","192.168.20.2","UDP","1198"
"5104","48.716855","192.168.3.101","192.168.20.2","UDP","1198"
"5105","48.722027","192.168.3.101","192.168.20.2","UDP","1198"
"5106","48.722058","192.168.3.101","192.168.20.2","UDP","1198"
"5107","48.73016","192.168.20.2","192.168.3.101","UDP","100"
"5108","48.737169","192.168.3.101","192.168.20.2","UDP","1186"
"5109","48.7372","192.168.3.101","192.168.20.2","UDP","1187"
"5110","48.737214","192.168.3.101","192.168.20.2","UDP","1187"
"5112","48.741586","192.168.3.102","192.168.20.3","SIP","360"
"5114","48.742282","192.168.3.101","192.168.20.2","UDP","1187"
"5115","48.742312","192.168.3.101","192.168.20.2","UDP","1187"
"5116","48.743388","192.168.3.101","192.168.20.2","UDP","112"
"5117","48.747372","192.168.3.101","192.168.20.2","UDP","1187"
"5118","48.747402","192.168.3.101","192.168.20.2","UDP","1187"
"5119","48.752516","192.168.3.101","192.168.20.2","UDP","1187"
"5120","48.752548","192.168.3.101","192.168.20.2","UDP","1187"
"5121","48.757608","192.168.3.101","192.168.20.2","UDP","1187"
"5122","48.75764","192.168.3.101","192.168.20.2","UDP","1187"
"5123","48.762729","192.168.3.101","192.168.20.2","UDP","1187"
"5124","48.762749","192.168.3.101","192.168.20.2","UDP","1187"
"5125","48.767857","192.168.3.101","192.168.20.2","UDP","1187"
"5126","48.767887","192.168.3.101","192.168.20.2","UDP","1187"
"5127","48.771292","192.168.20.3","192.168.3.102","SIP","410"
"5128","48.771307","192.168.20.3","192.168.3.102","SIP","410"
"5129","48.771629","192.168.3.102","192.168.20.3","SIP","352"
"5130","48.772966","192.168.3.101","192.168.20.2","UDP","1187"
